№;дата ;час;текст пов?домлень;м?тка;Pos1/Repos1;Автор/Group;Джерело;Мова;Like;Поширення;веб-адреса;;;;;;;;;;;;;
517;24.09.2024;4:51;"Рос?яни хот?ли продати в США древн? меч?, як? вкрали в Україн?

Сполучен? Штати передали Україн? середньов?чн? шабл?, як? конф?скували американськ? прикордонники, коли рос?яни намагались пропади їх в США. Про це пов?домляє Укр?нформ.";0;post;ГЛАВКОМ;google;укр;0;0;https://glavcom.ua/news/ssha-peredali-ukrajini-serednovichni-mechi-jaki-vkrali-rosijani-na-timchasovo-okupovanikh-teritorijakh-1022152.html#google_vignette;;;;;;;;;;;;;
518;23.09.2024;22:03;"Українцям та прихильникам України доведеться змиритися з тим, що Рос?я за п?дсумками в?йни збереже контроль над окупованими територ?ями принаймн? на деякий час. Таку думку висловив президент Чеської Республ?ки Петр Павел в ?нтерв'ю The New York Times.

";1;post;ун?ан;google;укр;0;0;https://www.unian.ua/world/treba-buti-realistom-za-pidsumkami-viyni-ukrajina-vtratit-teritoriji-prezident-chehiji-12766614.html;;;;;;;;;;;;;
519;24.09.2024;6:43;"Кандидат у президенти США Дональд Трамп зневажливо в?дгукнувся про в?зит українського л?дера Володимира Зеленського до США, назвавши його ""найб?льшим продавцем в ?стор?ї"". Як пише Bloomberg, Трамп п?д час м?тингу в понед?лок у Пенсильван?ї перед Генеральною Асамблеєю ООН заявив, що п?дходитиме до пол?тики України ""по-?ншому"".";1;post;ун?ан;google;укр;0;0;https://www.unian.ua/world/vizit-zelenskogo-do-ssha-reakciya-trampa-12766704.html;;;;;;;;;;;;;
520;23.09.2024;21:30;Рос?я планує на чверть зб?льшити в?йськов? витрати у бюджет? 2025 року. Про це пише Bloomberg ?з посиланням на проект трир?чного бюджету РФ, з яким вдалося ознайомитися журнал?стам.;1;post;ун?ан;google;укр;0;0;https://www.unian.ua/world/viyna-v-ukrajini-viyskoviy-byudzhet-rf-viroste-na-chvert-12766578.html;;;;;;;;;;;;;
521;23.09.2024;17:21;Сотн? тисяч рос?ян залишили свої дом?вки, тому що не хот?ли мати н?чого сп?льного з в?йною правителя РФ Володимира Пут?на або були вигнан? з країни-агресорки. Про це у своїй колонц? для The New York Times пише рос?йська журнал?стка Юл?я Яппарова.;1;post;ун?ан;google;укр;0;0;https://www.unian.ua/world/putin-robit-te-chogo-mayzhe-nihto-ne-pomichaye-12766302.html;;;;;;;;;;;;;
522;24.09.2024;13:30;"NORAD в?дстежило пол?т чотирьох в?йськових л?так?в Рос?ї б?ля Аляски

Об'єднане командування аерокосм?чної оборони П?вн?чної Америки (NORAD) заф?ксувало чотири рос?йськ? в?йськов? л?таки в неб? над Аляскою. Про це йдеться в пов?домленн? в соцмереж? X NORAD. Л?таки залишалися в м?жнародному пов?тряному простор?. NORAD виявило та в?дстежило чотири рос?йськ? в?йськов? л?таки, як? кружляли неподал?к м?сця, яке розташоване у зон? стеження ППО Аляски 23 вересня 2024 року.";0;post;ГЛАВКОМ;google;укр;0;0;https://glavcom.ua/world/world-politics/-ssha-pomitili-rosijski-vijskovi-litaki-bilja-aljaski-1022207.html#google_vignette;;;;;;;;;;;;;
523;23.09.2024;11:00;"Американка Ал?да Алек?н зробила онлайн-тест ДНК ? випадково знайшла свого дядька, який зник у шестир?чному в?ц? 73 роки тому.

Зниклий Луїс Армандо Альб?но, якого викрали з кал?форн?йського парку у 1951 роц?, весь цей час жив на ?ншому к?нц? країни, пов?домляють Mercury News та The Washington Post.";1;post;українська 1;google;укр;0;0;https://life.pravda.com.ua/society/u-ssha-zhinka-znayshla-svogo-dyadka-yakogo-vikrali-ditinoyu-73-roki-tomu-303879/;;;;;;;;;;;;;
524;24.09.2024;17:23;"Обранка актора вир?шила особливо не з'являтися перед камерами.

Голл?вудський красень Бред П?тт з'явився на прем'єр? ф?льму ""Самотн? вовки"", в якому з?грав з Джорджем Клун?. Зах?д в?дбувся у Лос-Анджелес?.";1;post; тсн;google;укр;0;0;https://tsn.ua/lady/news/show-biznes/na-chervonu-dorizhku-ne-viyshla-bred-pitt-znovu-z-yavivsya-z-divchinoyu-ale-ye-nyuans-2666271.html;;;;;;;;;;;;;
525;24.09.2024;17:51;"Рос?я вкотре вдарила по житлових будинках у Харков?.

Рос?я завдала удар?в КАБами по багатоповерх?вках Харкова 24 вересня. Внасл?док атаки є загибл? та поранен?. Перш? фото та в?део з м?сць прильот?в з?явилися у Мереж?. На жаль, люди перебувають п?д завалами. Рятувальники роблять все, щоб врятувати українц?в.";1;post; тсн;google;укр;0;0;https://tsn.ua/ato/rf-skinula-kabi-na-harkiv-v-bagatopoverhivci-naskrizna-dira-kilka-poverhiv-sklalisya-2666289.html;;;;;;;;;;;;;
526;24.09.2024;18:00;"Адвокатка розпов?ла, чому виникла правова кол?з?я та як? права є у ц?єї категор?ї чолов?к?в.

Командування Сухопутних в?йськ затвердило директиву, якою заборонено призов на в?йськову службу чолов?к?в, яким не виповнилося 25 рок?в ? як? ран?ше отримали статус ""обмежено придатних"".";1;post; тсн;google;укр;0;0;https://tsn.ua/exclusive/mobilizaciya-do-25-rokiv-scho-zminilosya-i-hto-mozhe-potrapiti-na-front-2666184.html;;;;;;;;;;;;;
527;24.09.2024;17:29;"Медики Черкаської обласної л?карн? виявили в орган?зм? пац?єнта 6 гайкових ключ?в. Як ?нструменти опинилися всередин? чолов?ка нев?домо.

Як зазначили у в?дд?ленн? торакальної х?рург?ї, ц?кавий випадок стався у серпн?.";0;post;українська 1;google;укр;0;0;https://life.pravda.com.ua/health/u-cherkasah-mediki-viyavili-v-organizmi-paciyenta-6-gaykovih-klyuchiv-foto-303914/;;;;;;;;;;;;;
528;24.09.2024;18:24;"На 76 роц? життя помер барабанщик легендарного гурту АВВА Роджер Палм. В?н довгий час боровся з хворобою Альцгеймера.

Про це його с?м'я пов?домила шведському виданню Aftonbladet.";1;post;українська 1;google;укр;0;0;https://life.pravda.com.ua/culture/pomer-barabanshchik-gurtu-abba-rodzher-palm-303916/;;;;;;;;;;;;;
529;24.09.2024;18:01;"Байден сказав, що рос?йський диктатор зазнав невдач? у своїй мет?, яка стосується знищення України

Президент США Джо Байден заявив, що США п?дтримуватимуть Україну доти, доки вона не здобуде ?справедливий ? тривалий мир?. Про це пов?домляє ?Європейська 1?.";1;post;ГЛАВКОМ;google;укр;0;0;https://glavcom.ua/world/world-politics/bajden-povidomiv-skilki-trivatime-amerikanska-pidtrimka-ukrajini-1022275.html;;;;;;;;;;;;;
530;26.04.24;23:00;Оперативно-тактической авиацией, ракетными войсками и артиллерией поражен (https://t.me/mod_russia/37972) эшелон с западным вооружением и военной техникой в районе населенного пункта Удачное ДНР, личный состав и техника 67-й механизированной бригады ВСУ на железнодорожной станции погрузки в районе населенного пункта Балаклея Харьковской области.;0;Post;Минобороны России;Telegram;Russian;1700;_;_;;;;;;;;;;;;;
531;20.09.24;12,34;Расстрелы военнопленных, издевательства над мирными жителями, обстрел гражданских объектов, жилых домов - уже знакомая тактика Вооруженных сил Украины в которую вписывается информация о создании на российском приграничье подобия концлагерей, куда ВСУ помещает гражданское население;0;Post;Анастасия Градинарова;Украина.ру;Russian;_;_;https://ukraina.ru/amp/20240920/amp/20240921/1057589810.html;;;;;;;;;;;;;
532;9.10.22;20:33;Главнокомандующий Вооруженных сил Украины (ВСУ) Валерий Залужный опубликовал в Twitter фото, на котором на его руке можно заметить браслет со свастикой. ;0;Post;Самер Мустафа;Газета.ru;Russian;_;_;https://www.gazeta.ru/amp/army/news/2022/10/09/18756805.shtml;;;;;;;;;;;;;
533;12.09.24;21,46;"Польские дети не желают учиться вместе с украинскими 

Поляки дают взятки директорам школ, чтобы их дети не учились в смешанных классах с украинскими детьми, ведь из-за огромного количества беженцев в Польше многие классы стали совместными. 

Из-за низкой успеваемости детей из Украины, их плохого поведения и даже краж в классах, поляки готовы приплатить руководству школы, чтобы их ребёнок мог попасть в класс, где учатся только местные дети.";0;Post;На самом деле в Херсоне;Telegram;Russian;73;_;_;;;;;;;;;;;;;
534;22.03.22;2:24;"Хакерське об'єднання Anonymous зламало базу даних одн?єї з найб?льших харчових компан?й св?ту, Nestle, через її позиц?ю щодо продовження роботи в рф попри в?йну проти України. 
Напередодн? Anonymous пригрозили ус?м компан?ям, як? дос? працюють в рос?ї, ? дали 48 годин на вих?д ?з рф, ?накше вони стануть ц?ллю хакер?в.";1;Post;Українська 1;Facebook;Ukrainian;2300;101;https://www.facebook.com/story.php?story_fbid=5625562890791658&id=114351485246187&rdid=Yvg7VQA0LKP9pAuW;;;;;;;;;;;;;
535;24.09.24;14,15;3?л?нcькuй гeть злeтiв з кoтyшoк?? Peзoнaнcн? звiльн?ння! Бyдaнoвa зi cкaндaлoм вuгaняють?! Пpuчuнa ш0кyє;0;Repost;Time Zone;Facebook;Ukrainian;9;11;https://www.facebook.com/story.php?story_fbid=517781350973963&id=100082263081526&rdid=lPZ7IgIrr1mYQwWp;;;;;;;;;;;;;
536;24.09.24;8:15;"Солом?я Крушельницька народилася на Терноп?льщин? та здобула св?тову славу. Вона виступала на сценах найкращих опер, виконуючи головн? парт?ї. А коли її запросили у ""Мадам Баттерфляй"", то глядач? викликали артист?в на б?с аж 17 раз?в ";1;Post;24 Канал;Facebook;Ukrainian;80;9;https://facebook.com/story.php?story_fbid=957825066376493&id=100064470260986&rdid=wkv2j1WkAegTFX4i;;;;;;;;;;;;;
537;24.09.24;11:28;У Львов? в?дкрився дворик, що розташований з п?вденної сторони В?рменської церкви. Довгий час в?н був закритий для в?дв?дувач?в.Тепер кожен охочий може пройти туди або з боку дзв?ниц?, або через буд?влю церкви. Вих?д ? т?льки через церкву на вулицю Крак?вську.;1;Post;Так люблю той Льв?в, що бракує ми сл?в;Facebook;Ukrainian;372;31;https://www.facebook.com/100064736794644/posts/930888719079013/?rdid=Nn9wbHE8uuCvKcmN;;;;;;;;;;;;;
538;21.09.24;13:26;"США готують пакет в?йськової допомоги Україн? на суму 375 м?льйон?в долар?в. Його планують оголосити вже наступного тижня, пов?домляє Reuters ?з посиланням на анон?мних посадовц?в США.
Пакет допомоги передбачає патрульн? катери, додатков? боєприпаси для високомоб?льних артилер?йських ракетних систем (HIMARS), артилер?йськ? боєприпаси кал?бру 155 ? 105 м?л?метр?в, запасн? частини та ?нше озброєння.";1;Post;Рад?о Свобода;Facebook;Ukrainian;202;9;https://www.facebook.com/story.php?story_fbid=942657931234694&id=100064714866867&rdid=XrYATxHDJaXthyhq;;;;;;;;;;;;;
539;24.09.24;14:35;Б?лоруський навчально-бойовий л?так ЯК-130 перетнув пов?тряний прост?р України, оголошували тривогу в Києв? та низц? областей;1;Post;Radio NV;Facebook;Ukrainian;21;8;https://www.facebook.com/story.php?story_fbid=1054596483338283&id=100063638226736&rdid=hvPvyxHS7kAKZvBF;;;;;;;;;;;;;
540;21.09.24; _;Льв?в, Луцьк, Терноп?ль, Черн?вц?, Ужгород та ?вано-Франк?вськ ув?йшли в десятку в рейтингу м?ст ?з найб?льш забрудненим пов?трям;1;Post;Так люблю той Льв?в, що бракує ми сл?в;Facebook;Ukrainian;199;24;https://www.facebook.com/100064736794644/posts/928704435964108/?rdid=ngT34aisiZDLAQET;;;;;;;;;;;;;
541;24.09.24;15:47;"Cьогодн? стало в?домо, що ГУР зв?льнило Вовчанський агрегатний завод на Харк?вщин?, який був захоплений рос?йськими в?йськами у травн? 2024 року.
В?домо, що станом на к?нець вересня там перебувала невелика к?льк?сть рос?йських в?йськ, приблизно 40 окупант?в. Б?льш?сть ?з них ? небоєздатна.";1;Post;24  Канал;Facebook;Ukrainian;105;2;https://www.facebook.com/100064470260986/posts/958210069671326/?rdid=8iddnnuUCydQENet;;;;;;;;;;;;;
542;20.09.24;13:03;Украинская разведка вербует радикалов в Сирии, Афганистане и Мали для совершения терактов на территории России. Об зтом заявила официальный представитель МИД Мария Захарова в ходе брифинга на полях ?V Евразийского женского форума в Санкт-Петербурге.;0;Post;РИА Новости Крым;РИА Новости;Russian;_;_;https://www.facebook.com/story.php?story_fbid=848025460814770&id=100068219718932&rdid=1ZyIj0KzlOez2brv;;;;;;;;;;;;;
543;23.09.24;13:28;Володимир Зеленський у межах в?зиту до США отримав нагороду Американської академ?ї досягнень ? The Golden Plate Award, яку вручають ?за внесок у розвиток людства?, пов?домляють у Telegram-канал? українського президента.;1;Post;Radio NV;Facebook;Ukrainian;77;2;https://www.facebook.com/share/p/RWi33NvbD28AxQjX/;;;;;;;;;;;;;
544;24.09.24;17:01;"Нац?ональна рада Швейцар?ї визнала Голодомор 1932-1933 рок?в геноцидом українського народу. 
Сп?кер ВР наголосив, що це було важливим кроком на шляху до в?дновлення ?сторичної справедливост?";1;Post;24 Канал;Facebook;Ukrainian;24;1;https://www.facebook.com/share/p/anWGTin7MVxYx75F/;;;;;;;;;;;;;
545;24.09.24;16.01.1900 5:16;Kharkiv. Russia's terrorism strikes again, with air bombs hitting four residential districts. Three casualties confirmed so far. In one area, a residential building's floors collapsed from the eighth to the third.;1;Post;Ihor Lachenkov;X;English;2000;1000;https://x.com/igorlachenkov/status/1838569686973178344;;;;;;;;;;;;;
546;23.09.24;19:33;Astronaut Tracy Dyson and her crewmates are safely home on Earth after today's Soyuz landing at 7:59am ET (1159 UTC). Dyson has completed a six-month research mission on the Space Station, her third spaceflight;1;Post;NASA;X;English;5000;854;https://x.com/NASA/status/1838255492096811311;;;;;;;;;;;;;
547;24.07.24;20:00;On July 24, 1969?55 years ago today?Apollo11 astronauts Neil Armstrong, Buzz Aldrin, and Michael Collins landed in the Pacific Ocean after eight days in space. Apollo 11 was the first of six Apollo missions to land on the Moon.;1;Post;NASA;X;English;6000;1000;https://x.com/NASA/status/1816156405071491089;;;;;;;;;;;;;
548;24.09.24;10:32;В?йськова сп?впраця Ф?нлянд?ї та Естон?ї найб?льш ор?єнтована на морську оборону. Таким чином країни хочуть розробити план закриття Ф?нської протоки у раз? нападу рф;1;Post;24 Канал;Facebook;Ukrainian;28;1;https://www.facebook.com/share/p/P5Rf1kjQpoaNkj6e/;;;;;;;;;;;;;
549;11.09.24;18:50;"XXXIII Л?тн? Ол?мп?йськ? ?гри в Париж? 2024 року стали ?стор?єю.
Українськ? атлети здобули 12 медалей ? три з яких золот?!";1;Post;Українська 1;Facebook;Ukrainian;150;19;https://www.facebook.com/share/p/jo5dQ9F6uVsnbybB/;;;;;;;;;;;;;
550;21.05.2024;10:00;"На сайт? президента України з'явилася петиц?я з вимогою вручити пов?стку Зеленському ""у зв'язку ?з зак?нченням його президентських повноважень""";0;Post;;Google Chrome;Ukranian;4;6;https://www.5.ua/dv/life/328057;;;;;;;;;;;;;
551;25.09.2024;8:44;Наш источник сообщает, что американское турне Зеленского - провалилось.Ему не удалось даже убедить спонсоров поддержать второй форум по украинскому кризису, который он хотел провести в ноябре. Почти все встречи отменились. Трамп - отмена.Харрис - под вопросом, скорее отмена.Байден - под вопросом, возможно будет.Майк Джонсон, спикер палаты представителей (республиканец) - под вопросом, скорее всего отмена.Очень тревожный сигнал для Зеленского. Прямой слив?;0;Post;легетимный;Telegram;russian;;;;;;;;;;;;;;;;
552;23.09.2024;16:21;Украинские военные стали готовить общество к потерям ВСУ сразу трех городов на Донбассе.Тревожный звоночек на фоне победных заявлений Зеленского с его планом победы. Многие добавляют, что ещё стоит готовится к Невельскому котлу, а также потери территорий в Курской области. ВСУ снова начинают отступать и терять позиции, что понизит и так слабую мотивацию в армии.;0;Post;картель;Telegram;russian;;;;;;;;;;;;;;;;
553;25.09.2024;11:13;Курская авантюра Зеленского уничтожает все резервы ВСУ и станет причиной поражения в будущем, но россияне планируют до конца осени создать плацдармы вблизи пяти облцентров, чтобы уничтожить их.Об этом заявила нардеп Марьяна Безуглая.?В течение осени россияне планируют создать плацдармы вблизи пяти областных центров и уничтожать их: Запорожье и Днепр, к которым они постепенно приближаются, Харьков и Херсон, уже долгое время подвергающиеся постоянным атакам, а также Сумы, ставшие плацдармом для наших активных действий в Курской области?, ? написала она. При этом, ссылаясь на ?неадекватность военного руководства, которое занято ?курской песочницей? и забирает туда бригады?, Безуглая призвала ?военных при таких обстоятельствах уделить внимание максимальной горизонтальной координации?, то есть к согласованию действий без высшего руководства;0;post;резидент;telegram;russian;;;;;;;;;;;;;;;;
554;23.09.2024;10:36;Наш источник в ОП рассказал, что Зеленский не рассчитывает на принятие его плана победы Байденом, а сами драфты прописаны так, чтобы США не смогли публично от него отказаться. Офис Президента рассчитывает получить одобрение на ракетные удары в глубь России, как элемент торга с Администрацией Байдена, что мы не обвиним его в обвала Восточного фронта и поражении Украины перед президентскими выборами в США. Ермак просто рассчитывает выторгаыать этот инструмент эскалации, чтобы не срывать избирательный процесс для Демократов;0;Post;резидент;Telegram;russian;;;;;;;;;;;;;;;;
555;23.09.2024;12:14;Ал?на Гросу неоч?кувано отримала дипломатичну посаду в Нью-Йорку ? розкрила, чим займатиметься;0;Post ;ТСН;Google Chrome;ukranian;;;https://tsn.ua/glamur/alina-grosu-neochikuvano-otrimala-diplomatichnu-posadu-v-nyu-yorku-i-rozkrila-chim-zaymatimetsya-2665296.html;;;;;;;;;;;;;
556;23.09.2024;18:31;Запад поставляет в Украину неисправные боеприпасы, сообщает Handelsblatt.Отмечается, что ходе боевого применения вышеупомянутых снарядов  произошли ?многочисленные взрывы боеприпасов на расстоянии от 20 до 60 метров от дула, причинившие ранения личному составу и повредившие артиллерийские системы?.Причиной неисправности в издании называют старые детонаторы М515 и М51А5, разработанные во время Второй мировой войны. Часть таких боеприпасов была доставлена ??в рамках чешской инициативы, а часть из США.;0;Post;mediapost;telegram;russian;;;(https://www.handelsblatt.com/politik/international/waffenlieferungen-ukraine-klagt-ueber-schlechte-munition-aus-dem-westen/100067996.html);;;;;;;;;;;;;
557;25.09.2024;13.53;"Б?лий д?м розробляє ""план Б"" щодо продовження в?йськової допомоги Україн? ? Politico. Адм?н?страц?я президента США Джо Байдена працює над планом розширення своїх повноважень щодо в?дправки зброї Україн? на 5,9 м?льярда долар?в до к?нця м?сяця. Це дозволить продовжити постачання зброї Києву без д?й Конгресу";1;Post;Сусп?льне новини;Google Chrome;Ukranian;;;https://suspilne.media/844143-bilij-dim-rozroblae-plan-b-sodo-prodovzenna-vijskovoi-dopomogi-ukraini-politico/;;;;;;;;;;;;;
558;24.09.2024;19:06;Українськ? л?карн? отримали в?д Япон?ї обладнання на понад $21 млн ? МОЗ. Українськ? медзаклади вже отримали в?д Япон?ї дев?ять апарат?в МРТ, один комп?ютерний томограф ? два нейрох?рург?чн? м?кроскопи. Загальна варт?сть обладнання становить понад 21 м?льйон долар?в, а його передача в?дбулась у межах першого етапу грантової угоди м?ж японським агентством м?жнародного сп?вроб?тництва (JICA) та Україною.;1;Post;Сусп?льне новини;Google Chrome;Ukranian;;;https://suspilne.media/843641-ukrainski-likarni-otrimali-vid-aponii-obladnanna-na-ponad-21-mln-moz/;;;;;;;;;;;;;
559;25.09.24;13,31;Китай пров?в випробування м?жконтинентальної бал?стичної ракети. Ракету запустили вранц? 25 вересня, ? вона ?впала в оч?куваний район у Тихому океан??, заявило М?н?стерство оборони Китаю. Влада Китаю пов?домила, що китайськ? в?йськов? зд?йснили усп?шний запуск м?жконтинентальної бал?стичної ракети з ?м?тац?єю боєголовки. Ракету запустили вранц? 25 вересня, ? вона ?впала в оч?куваний район у Тихому океан??, заявило М?н?стерство оборони Китаю, додавши, що випробувальний запуск був ?штатним? ? є частиною ?щор?чних навчань?. Китайськ? ЗМ? зазначають, що Пек?н попередив ус? зац?кавлен? країни про випробування. Тип ракети ? її траєктор?ю влада КНР не розкривала. У Кремл? вже заявили, що випробування ракети ? ?суверенне право? Китаю.;1;Post;Рад?о Свобода;Google Chrome;Ukranian;;;https://www.radiosvoboda.org/a/news-kytai-raketa-vyprobuvannia/33134558.html;;;;;;;;;;;;;
560;25.09.2024;14:00;Зеленський ? Столтенбер? обговорили посилення української ППО. Президент України Володимир Зеленський у Нью-Йорку на полях сес?ї Генеральної асамблеї ООН пров?в зустр?ч ?з генеральним секретарем НАТО Єнсом Столтенбергом, який незабаром залишає посаду. ?Ми обговорили необх?дн?сть посилення української ППО, продовження роботи заради того, щоб наша держава отримала запрошення в НАТО якомога скор?ше, ? важлив?сть вчасної реал?зац?ї вс?х домовленост? Вашингтонського сам?ту Альянсу?, ? написав Зеленський у телеграм?.;1;Post;Рад?о Свобода;Google Chrome;Ukranian;;;https://www.radiosvoboda.org/a/news-zelenskyi-stoltenberg-ppo/33134645.html;;;;;;;;;;;;;
561;25.09.2024;12:43;Україна та В?єтнам домовились про зб?льшення товарооб?гу у р?зних сферах. Президент України Володимир Зеленський та президентом В?єтнаму То Лам обговорили розвиток двосторонн?х в?дносин ? зб?льшення товарооб?гу, зокрема в аграрн?й промисловост?. Про це йдеться в пов?домленн? Оф?су президента. П?д час зустр?ч? президент?в То Лам зазначив, що 2022 року товарооб?г з Україною знизився, але вже тор?к знову почав поступово зростати. В?н запропонував обом державам працювати над його нарощуванням у р?зних сферах.;1;Post;Українська 1;Google Chrome;Ukranian;;;https://www.epravda.com.ua/news/2024/09/25/719776/;;;;;;;;;;;;;
562;25.09.2024;10,53;"В Україн? можуть вчергове скасувати ДПА для школяр?в. Парламентар? у пояснювальн?й записц? зазначили, що така пропозиц?я ""продиктована"" воєнним станом та агрес?єю РФ до нац?ональної системи осв?ти та науки України. Тому, кр?м скасування ДПА для учн?в кожного з р?вн?в повної загальної середньої осв?ти, також пропонують у 2025 роц? продовжити проведення вступних випробувань в електронному формат?";1;Post;Українська 1;Google Chrome;Ukranian;;;https://life.pravda.com.ua/society/chi-skasuyut-dpa-dlya-shkolyariv-u-2025-303920/?_gl=1*ht8wjg*_ga*OTY2MzkzMzM1LjE3MjcyNjQzNjc.*_ga_6ELQ7YCNBS*MTcyNzI2NDM2Ny4xLjEuMTcyNzI2NDcyMi41OS4wLjA;;;;;;;;;;;;;
563;25.09.2024;7:28;У 2024 роц? Україна знищила понад тридцять рос?йських л?так?в. Частину з них, як-от бомбардувальники Ту-22М3 та Су-34, в?йськов? збили зен?тно-ракетними комплексами. До ц?єї м?с?ї ГУР ? Пов?трян? сили готувались понад два роки. У 2024 роц? вони значно пошкодили системи опов?щення РФ та їхн? л?таки-розв?дники ? тепер рос?янам буде набагато важче перехопити українськ? ракети та дрони.;1;Post;Бабель;Google Chrome;Ukranian;;;https://babel.ua/texts/111150-u-2024-roci-ukrajina-znachno-poslabila-povitryani-sili-rf-znishchivshi-desyatki-litakiv-yak-ce-vdalosya-zrobiti-viyskovi-vikoristovuvali-kompleksi-s-300-yak-primanki;;;;;;;;;;;;;
564;25.09.2024;14:10;Прем?єру Словаччини Ф?цо над?слали конверт ?з кулею ? нещодавно в?н пережив замах Прем?єр-м?н?стру Словаччини Роберту Ф?цо над?слали конверт ?з кулею. Зараз його перев?ряє Управл?ння захисту посадових ос?б ? дипломатичних м?с?й Словаччини. Про це словацькому виданню Aktuality пов?домили у пресслужб? уряду країни. Конверт над?йшов прем?єру 25 вересня зранку. Усю пошту Ф?цо спочатку перев?ряє служба безпеки ? увагу привернув зовн?шн?й вигляд листа. Рентген?вська перев?рка показала, що в ньому лежить куля. Зараз справу розглядає словацька пол?ц?я.;1;Post;Бабель;Google Chrome;Ukranian;;;https://babel.ua/news/111168-prem-yeru-slovachchini-fico-nadislali-konvert-iz-kuleyu-neshchodavno-vin-perezhiv-zamah;;;;;;;;;;;;;
565;25.09.24;14:54;Напередодн? виступу на Генасамблеї ООН президент Володимир Зеленський дав велике ?нтерв?ю журнал?сту The New Yorker Джошуа Яфф?. В?н розпов?в про причини й насл?дки Курської операц?ї ? св?й план перемоги. За даними британського видання The Sunday Times, у ньому є чотири ключових пункти: гарант?ї безпеки в?д Заходу на кшталт пакту про взаємну оборону член?в НАТО, ?конкретне? сучасне озброєння, м?жнародна ф?нансова допомога для зруйнованої економ?ки України ? можлив?сть продовжити Курську операц?ю ЗСУ, щоб мати ?територ?альний козир? для переговор?в. Президент також прокоментував п?дтримку Заходу ? заяви Дональда Трампа та Джей Д? Венса про те, як швидко зак?нчити в?йну в Україн?. Ми спростили його цитати, але зберегли їхню суть. Переказуємо ?нтерв?ю в одному абзац?.;1;Post;Бабель;Google Chrome;Ukranian;;;https://babel.ua/texts/111101-zelenskiy-dav-interv-yu-the-new-yorker-pro-plan-peremogi-perekazuyemo-v-odnomu-abzaci;;;;;;;;;;;;;
566;25.09.2024;13:27;Мах?нац?ї з вуг?ллям на 12 м?льйон?в гривень: колишньому заступнику голови М?ненерго обрали запоб?жний зах?д. Колишньому заступнику м?н?стра енергетики та колишньому директору ДП ?Укрвуг?лля? обрали запоб?жн? заходи у вигляд? особистого зобов?язання. Їх п?дозрюють у завданн? держав? майже 12 м?льйон?в гривень збитк?в. Правоохоронц? не називають ?мен п?дозрюваних, однак джерела hromadske в правоохоронних органах п?дтвердили, що йдеться про колишнього заступника м?н?стра енергетики Максима Немчинова та колишнього гендиректора державного п?дприємства ?Укрвуг?лля? В?тал?я Зюзька.;1;Post;Громадське;Google Chrome;Ukranian;;;https://hromadske.ua/suspilstvo/231817-makhinatsiyi-z-vuhilliam-na-12-mln-hrn-kolyshnyomu-zastupnyku-holovy-minenerho-obraly-zapobiznyy-zakhid;;;;;;;;;;;;;
567;24.09.2024;19:10;МЗС в?дреагувало на заклик президента Чех?ї прийняти ?тимчасову? окупац?ю частини України. М?н?стерство закордонних справ (МЗС) України виступило проти ?половинчастих р?шень? заради миру в рос?йсько-українськ?й в?йн? на тл? заяви президента Чех?ї Петра Павела, який закликав прийняти ?тимчасову? рос?йську окупац?ю деяких українських територ?й. Свою в?дпов?дь на заяву Павела в?домство опубл?кувало 24 вересня. Як сказано в заяв? МЗС України, виведення рос?йських окупац?йних в?йськ з? вс?єї територ?ї України є обов?язковим пунктом ?формули миру? президента Володимира Зеленського. А ?половинчаст?? та ?тимчасов?? р?шення не в?дновлять повноц?нний мир, а лише в?дтерм?нують в?йну.;1;Post;Гомадське рад?о;Google Chrome;Ukranian;;;https://hromadske.radio/news/2024/09/24/mzs-vidreahuvalo-na-zaklyk-prezydenta-chekhii-pryyniaty-tymchasovu-okupatsiiu-chastyny-ukrainy;;;;;;;;;;;;;
568;25.09.2024;10:49;Через бойов? д?ї та техпорушення без св?тла залишаються 482 населен? пункти: ситуац?я в енергосистем? на 25 вересня. На середу, 25 вересня, енергетики не планують застосовувати обмеження електроенерг?ї. Проте українц?в закликають ? надал? економно й в?дпов?дально споживати електроенерг?ю в п?ков? години.;1;Post;Еспресо;Google Chrome;Ukranian;;;https://espreso.tv/v-ukraini-znestrumleno-mayzhe-400-naselenikh-punktiv-situatsiya-v-energosistemi;;;;;;;;;;;;;
569;25.09.24;14:49;Незаконно вивозив агропродукц?ю через Крим: кап?тану заарештованого в порту Рен? судна оголосили п?дозру. В Україн? оголосили п?дозру кап?тану ?ноземного морського судна USKO MFU, який зд?йснював вивезення агропродукц?ї через закрит? морськ? порти тимчасово окупованого Криму. Про це ?нформує пресслужба Оф?су генпрокурора.За даними сл?дства, у жовтн? 2023 року ?ноземець, керуючи судном USKO MFU п?д прапором Камеруну, зд?йснив незаконний зах?д до закритого Україною Севастопольського морського торговельного порту. Тим самим в?н порушив законодавство України та норми м?жнародного морського права.Зазначається, що у Криму судно було завантажено понад 3 тисячами тонн агропродукц?ї, призначеної для турецької компан?ї.;1;Post;Еспресо;Google Chrome;Ukranian;;;https://espreso.tv/kryminal-nezakonno-vivoziv-agroproduktsiyu-cherez-krim-kapitanu-zaareshtovanogo-v-portu-reni-sudna-ogolosili-pidozru;;;;;;;;;;;;;
